Source,Target,Weight
Kassenwechselmeldungen,Kassenwechsel-Leistungsdaten,149
Kur,Kassenwechsel-Leistungsdaten,304
Zahnersatz,Kassenwechsel-Leistungsdaten,113
Leistungen-Basis,Kassenwechsel-Leistungsdaten,162
Kinderkrankengeld (KKG),Kassenwechsel-Leistungsdaten,196
Pflegeunterstuetzungsgeld,Kassenwechsel-Leistungsdaten,25
Arbeitsunfaehigkeit,Kassenwechsel-Leistungsdaten,227
Sonstige Leistungen,Kassenwechsel-Leistungsdaten,127
Krankenhausaufenthalt,Kassenwechsel-Leistungsdaten,224
Haeusliche Krankenpflege,Kassenwechsel-Leistungsdaten,190
Pflegeversicherung,Kassenwechsel-Leistungsdaten,121
Haertefall - Belastungsgrenze,Kassenwechsel-Leistungsdaten,294
Versichertenbestandsfuehrung,Beitragserstattung aus Rente,3
Dokumentenarchiv und Dokumentenaufnahme,Entsendung,1
Einstufungsverlauf,Studienverlauf,29
CRM,Studienverlauf,16
Arbeitgeberbestandsfuehrung,Studienverlauf,4
tk.de,Studienverlauf,31
Versichertenbestandsfuehrung,Studienverlauf,61
SozV-Meldungen,Studienverlauf,1
CRM-Akquisemanager,Studienverlauf,27
Optimization,Studienverlauf,3
MeineTK,Studienverlauf,470
Digitale Gesundheitsanwendung,Konfigurierbare Leistung,1141
Leistungsuebersicht,Konfigurierbare Leistung,4
Ambulante Versorgungsabrechnungen,Konfigurierbare Leistung,9
Wahltarife,Dividendenverlauf,8
Kiss24-TKeasy,MeineTK,16
DA Ambulante spezialfachaerztliche Versorgung,MeineTK,3
Vorgangssystem,MeineTK,3
Pflegeversicherung,MeineTK,3
Datenaustausch-Basis,MeineTK,3
DA Hausarztzentrierte Versorgung,MeineTK,1
DA Zahnaerzte / Behandlungsfallnachweis,MeineTK,2
Digital Service Solutions (DSS),MeineTK,74
Einstufungsverlauf,MeineTK,134
Praevention,MeineTK,41
DA Entgeltersatzleistungen,MeineTK,5
Krankenhausaufenthalt,MeineTK,34
CRM-Akquisemanager,MeineTK,2
Optimization,MeineTK,2
Unfall,MeineTK,15
Elektronischer Austausch von Sozialversicherungsdaten (EESSI),MeineTK,2
tk.de,MeineTK,18
Behandler-Verzeichnis,MeineTK,87
CRM,MeineTK,60
DA Ärzte / Einzelfallnachweis,MeineTK,3
Entgeltersatzleistungen,MeineTK,3
TK-Konto (TKeasy-GUI  Schriftgut),MeineTK,1
Versichertenbestandsfuehrung,MeineTK,165
Haertefall - Belastungsgrenze,MeineTK,50
Sonstige Leistungen,MeineTK,1
Mutterschaftsgeld (MUG),MeineTK,109
Kinderkrankengeld (KKG),MeineTK,19
Zahnersatz,MeineTK,47
CRM-Bonusprogramm,MeineTK,4
Gesundheitskarte (eGK),MeineTK,5
Mitgliederbeitrag,MeineTK,3
Arbeitsunfaehigkeit,MeineTK,2
TK-Vorsorgeplaner,MeineTK,2
Entsendung,MeineTK,1
LM-Fallfuehrung,MeineTK,23
TK-Patientenquittung,MeineTK,14
DA Apotheken,MeineTK,3
Studienverlauf,MeineTK,14
Leistungsuebersicht,Psychotherapie,5
Krankenhausaufenthalt,Psychotherapie,13
Digitale Gesundheitsanwendung,Psychotherapie,2
DA Ärzte / Einzelfallnachweis,Psychotherapie,22
Kur,Psychotherapie,38
CRM,TI-Messenger-Adapter,6
CRM,Seminarverwaltung,4
